"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","3","8"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","2","12"," "," "," "
"Independent work"," ","1","6","5","4"," "," "
"Work at a fast pace"," "," ","4","2","10"," "," "
"Work under tight deadlines"," ","2","7","5","2"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","5","10"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","4","9"
"Work with clients who may be aggressive","6"," "," "," "," ","4","6"
"Work with clients with challenging economic and/or personal circumstances","3"," "," "," "," ","5","8"
"Work with clients with cognitive deficits"," "," "," "," "," ","14","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","13","3"
"Work with interdisciplinary team members"," "," ","7","3","6"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","11","5"
"Work with more than one preceptor"," ","11","1","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","10","1","5"," "," "," "
"Work with other students"," ","8","2","5","1"," "," "
"Total","18","34","30","39","25","59","51"
