"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","3","5"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","10"," "," "," "
"Independent work"," ","1","4","3","3"," "," "
"Work at a fast pace"," "," ","2","2","7"," "," "
"Work under tight deadlines"," ","2","4","4","1"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","4","7"
"Work with clients who have experienced psychological trauma","2"," "," "," "," ","2","7"
"Work with clients who may be aggressive","4"," "," "," "," ","3","4"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","5","5"
"Work with clients with cognitive deficits"," "," "," "," "," ","10","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","8","3"
"Work with interdisciplinary team members"," "," ","6","2","3"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","9","2"
"Work with more than one preceptor"," ","6","1","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","3","1","7"," "," "," "
"Work with other students"," ","3","1","6","1"," "," "
"Total","10","16","19","36","17","44","34"
