"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","2"," ","6"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","1","5"," "," "
"Follow multiple step commands"," "," "," "," ","7","1"
"Integrating new learning into practice"," ","2"," ","6"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","8"," "
"Practicing good judgement and decision-making"," ","1","1","6"," "," "
"Problem solving"," ","3"," ","5"," "," "
"Reading electronic documents"," ","5","3"," "," "," "
"Reading paper documents (handwritten or typed)"," ","4","4"," "," "," "
"Require instant recall of facts/data","1"," "," "," ","5","2"
"Self-starting/initiating"," ","4","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","5","1","2"," "," "
"Total","1","28","11","33","20","3"
