"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","3","4"," "," "," "
"By hand"," ","4"," "," "," ","4"," "," "," "
"Carrying less than 5 kg"," ","2","5"," "," "," ","1"," "," "
"Carrying more than 5 kg"," ","8"," "," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","8"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","8"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," "," "
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," "," "
"Exposure to strong odors","8"," "," "," "," "," "," "," "," "
"Finger dexterity"," ","2","4","1"," "," ","1"," "," "
"Grasping"," ","1","4","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","6"," "," "," "
"Keyboarding on phone"," ","7"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," ","3","5"," "," "," "
"Lifting less than 5 kg"," ","1","5","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","6","2"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," "," "," "," "," "
"Pinching"," ","3","3","1"," "," ","1"," "," "
"Pulling less than 5 kg"," ","6","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","7","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","2"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","6","2"," "," "," "," "," "," "
"Reaching"," ","1","4","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," ","1","5"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","1","6"," ","1"," "
"Stair climbing"," ","3"," "," ","1","4"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","4"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","4"," ","2"," "
"Travel via car required","8"," "," "," "," "," "," "," "," "
"Travel via public transportation required","8"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","2","1"," "," "," "
"Use of sharp tools","7"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","4"," ","2"," "
"Work only indoors"," "," "," "," "," "," "," "," ","8"
"Work outdoors > 1 hour","8"," "," "," "," "," "," "," "," "
"Total","95","79","34","7","19","48","7","6","17"
