"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","3"
"Bending"," ","3"," "," ","3","6"," "," "," "
"By hand"," ","3"," "," ","4","4"," ","1"," "
"Carrying less than 5 kg"," ","6","4","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","8","2","2"," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," ","6"
"Exposure to chemicals","10"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","11"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","10"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","11"
"Exposure to insects or animals (e.g. bed bugs, cats)","12"," "," "," "," "," "," "," "," "
"Exposure to strong odors","9"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","5","1","5"," "," ","1"," "," "
"Grasping"," ","3","4","5"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","3","7"," "," "," "
"Keyboarding on phone"," ","11"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","5"," "," ","2","5"," "," "," "
"Lifting less than 5 kg"," ","4","5","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","4","2"," "," "," "," "," "
"Other climbing"," ","10"," "," "," ","2"," "," "," "
"Pinching"," ","4","5","3"," "," "," "," "," "
"Pulling less than 5 kg"," ","6","4","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","7","3","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","6","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","7","2","3"," "," "," "," "," "
"Reaching"," ","3","5","4"," "," "," "," "," "
"Sitting (Continuous)"," ","7"," "," "," ","5"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","1","11"," "," "," "
"Stair climbing"," ","5"," "," "," ","6"," ","1"," "
"Standing (Continuous)"," ","2"," "," ","3","5"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","7","3"," ","2"," "
"Travel via car required","12"," "," "," "," "," "," "," "," "
"Travel via public transportation required","12"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","1","6"," "," "," "
"Use of sharp tools","12"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","5","4"," ","3"," "
"Work only indoors","1"," "," "," "," "," "," "," ","11"
"Work outdoors > 1 hour","12"," "," "," "," "," "," "," "," "
"Total","127","116","45","35","29","65","1","9","41"
