"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","1","3"," "," "
"By hand"," ","1"," "," "," ","4"," "," "
"Carrying less than 5 kg"," ","2","3"," "," "," "," "," "
"Carrying more than 5 kg"," ","5"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," "
"Exposure to chemicals","5"," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," "
"Exposure to strong odors","5"," "," "," "," "," "," "," "
"Finger dexterity"," ","1","3","1"," "," "," "," "
"Grasping"," ","1","3","1"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","4"," "," "
"Keyboarding on phone"," ","4"," "," "," ","1"," "," "
"Kneeling/squatting"," "," "," "," ","1","4"," "," "
"Lifting less than 5 kg"," ","1","3","1"," "," "," "," "
"Lifting more than 5 kg"," ","3","2"," "," "," "," "," "
"Other climbing"," ","5"," "," "," "," "," "," "
"Pinching"," ","2","2","1"," "," "," "," "
"Pulling less than 5 kg"," ","4","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","4","1"," "," "," "," "," "
"Reaching"," ","1","3","1"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","1","2"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","3","1"," "
"Stair climbing"," ","3"," "," "," ","2"," "," "
"Standing (Continuous)"," ","1"," "," "," ","4"," "," "
"Standing (Intermittent)"," "," "," "," ","1","4"," "," "
"Travel via car required","5"," "," "," "," "," "," "," "
"Travel via public transportation required","5"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","4"," "," ","1"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","4"," "," "
"Work only indoors"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," "
"Total","60","53","23","5","8","35","1","10"
