"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1"," ","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","1","2"," "," "
"Follow multiple step commands"," "," "," "," ","4","1"
"Integrating new learning into practice"," ","2"," ","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","5"," "
"Practicing good judgement and decision-making"," ","1","1","3"," "," "
"Problem solving"," ","2"," ","3"," "," "
"Reading electronic documents"," ","2","3"," "," "," "
"Reading paper documents (handwritten or typed)"," ","2","3"," "," "," "
"Require instant recall of facts/data","1"," "," "," ","3","1"
"Self-starting/initiating"," ","3","1","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3","1","1"," "," "
"Total","1","18","10","17","12","2"
