"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning","1"," ","1"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2"," "," "
"Follow multiple step commands"," "," "," ","2"," "
"Integrating new learning into practice","1"," ","1"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","1","1"
"Practicing good judgement and decision-making"," "," ","2"," "," "
"Problem solving"," ","1","1"," "," "
"Reading electronic documents"," "," ","2"," "," "
"Reading paper documents (handwritten or typed)"," "," ","2"," "," "
"Require instant recall of facts/data"," "," "," ","1","1"
"Self-starting/initiating"," ","1","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2"," "," "
"Total","2","2","14","4","2"
