"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Analytical or clinical/professional reasoning"," "," ","2","1","9"," "," ",1
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","3","8"," "," ",1
"Follow multiple step commands","1"," "," "," "," ","6","5",1
"Integrating new learning into practice"," "," ","5"," ","7"," "," ",1
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","7","4",1
"Practicing good judgement and decision-making"," "," ","2","1","9"," "," ",1
"Problem solving"," "," ","3","2","7"," "," ",1
"Reading electronic documents"," "," ","2","7","3"," "," ",1
"Reading paper documents (handwritten or typed)"," ","2","1","6","3"," "," ",1
"Require instant recall of facts/data","2"," "," "," "," ","6","4",1
"Self-starting/initiating"," "," ","4","2","6"," "," ",1
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","9"," "," ",1
"Total","4","2","22","23","61","19","13",12
