"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","2","5",1
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","8","2"," "," ",1
"Independent work"," "," ","5","4","3"," "," ",1
"Work at a fast pace"," ","4","4","2","2"," "," ",1
"Work under tight deadlines"," ","4"," ","7","1"," "," ",1
"Work with clients that speak little or no English","6"," "," "," "," ","1","5",1
"Work with clients who have experienced psychological trauma"," "," "," "," "," ","10","2",1
"Work with clients who may be aggressive","1"," "," "," "," ","4","7",1
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","11","1",1
"Work with clients with cognitive deficits","2"," "," "," "," ","5","5",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","12"," ",1
"Work with interdisciplinary team members"," "," ","5","5","2"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","7"," "," "," "," ","1","4",1
"Work with more than one preceptor"," ","7"," ","3","2"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","12"," "," "," "," "," ",1
"Work with other students"," ","9","1","2"," "," "," ",1
"Total","21","36","17","31","12","46","29",16
