"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1"," ","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2"," ","3"," "," "
"Follow multiple step commands","2"," "," "," ","3"," "
"Integrating new learning into practice"," ","1"," ","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","4","1"
"Practicing good judgement and decision-making"," "," "," ","5"," "," "
"Problem solving"," "," ","1","4"," "," "
"Reading electronic documents"," ","1","2","2"," "," "
"Reading paper documents (handwritten or typed)"," ","1","3","1"," "," "
"Require instant recall of facts/data"," "," "," "," ","2","3"
"Self-starting/initiating"," ","1","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","2"," ","3"," "," "
"Total","2","9","7","29","9","4"
