"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","6"," "," "," "," ","1","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","3","6"," "," "," "
"Independent work"," "," ","4","3","2"," "," "
"Work at a fast pace"," ","1","2","4","2"," "," "
"Work under tight deadlines"," ","3","2","2","2"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","2","6"
"Work with clients who have experienced psychological trauma","2"," "," "," "," ","5","2"
"Work with clients who may be aggressive","3"," "," "," "," ","1","5"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","6","2"
"Work with clients with cognitive deficits","1"," "," "," "," ","7","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","8","1"
"Work with interdisciplinary team members"," ","1","4","3","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","5","2"
"Work with more than one preceptor"," ","6","1","1","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","6"," ","3"," "," "," "
"Work with other students"," ","5"," ","2","2"," "," "
"Total","16","22","16","24","10","35","21"
