"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","2","1"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","3","2"," "," "
"Independent work"," "," ","2","2","2"," "," "
"Work at a fast pace"," "," ","1","3","2"," "," "
"Work under tight deadlines"," ","1","1","3","1"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","2","3"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","3"," "
"Work with clients who may be aggressive","5"," "," "," "," ","1"," "
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","2","3"
"Work with clients with cognitive deficits","1"," "," "," "," ","4","1"
"Work with clients with multiple diagnoses","1"," "," "," "," ","5"," "
"Work with interdisciplinary team members"," "," ","2","2","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","2"," "
"Work with more than one preceptor"," ","1","2","1","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","1"," ","4","1"," "," "
"Work with other students"," ","1"," ","4","1"," "," "
"Total","19","4","9","22","13","21","8"
