"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","24"," "," "," "," "," "," "," ","3"
"Bending"," ","5"," "," ","2","19"," ","1"," "
"By hand"," ","7"," "," ","6","14"," "," "," "
"Carrying less than 5 kg"," ","11","12","1"," "," ","3"," "," "
"Carrying more than 5 kg"," ","23","4"," "," "," "," "," "," "
"Congested/cluttered working areas","13"," "," "," "," "," "," "," ","14"
"Exposure to chemicals","25"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","26"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","20"," "," "," "," "," "," "," ","7"
"Exposure to extreme temperatures","24"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","8"," "," "," "," "," "," "," ","19"
"Exposure to insects or animals (e.g. bed bugs, cats)","21"," "," "," "," "," "," "," ","6"
"Exposure to strong odors","19"," "," "," "," "," "," "," ","8"
"Finger dexterity"," ","3","11","8"," "," ","5"," "," "
"Grasping"," ","3","13","6"," "," ","5"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","18"," ","5"," "
"Keyboarding on phone"," ","25"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","6"," "," "," ","20"," ","1"," "
"Lifting less than 5 kg"," ","5","12","5"," "," ","5"," "," "
"Lifting more than 5 kg"," ","16","9","2"," "," "," "," "," "
"Other climbing"," ","26"," "," "," ","1"," "," "," "
"Pinching"," ","6","14","4"," "," ","3"," "," "
"Pulling less than 5 kg"," ","14","9","1"," "," ","3"," "," "
"Pulling more than 5 kg"," ","19","5","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","7","16","1"," "," ","3"," "," "
"Pushing more than 5 kg"," ","12","10","4"," "," ","1"," "," "
"Reaching"," ","3","14","5"," "," ","5"," "," "
"Sitting (Continuous)"," ","5"," "," ","3","18"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","10","11"," ","6"," "
"Stair climbing"," ","7"," "," ","2","17"," ","1"," "
"Standing (Continuous)"," ","2"," "," ","8","11"," ","6"," "
"Standing (Intermittent)"," "," "," "," ","13","2"," ","12"," "
"Travel via car required","23"," "," "," "," "," "," "," ","4"
"Travel via public transportation required","24"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","13"," "," ","1","12"," ","1"," "
"Use of sharp tools","21"," "," "," "," "," "," "," ","6"
"Walking"," "," "," "," ","11","8"," ","8"," "
"Work only indoors","6"," "," "," "," "," "," "," ","21"
"Work outdoors > 1 hour","25"," "," "," "," "," "," "," ","2"
"Total","279","218","129","40","61","152","33","42","99"
