"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," ","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","3","1"," "," "
"Independent work"," "," ","1","2","2"," "," "
"Work at a fast pace"," "," ","1","4"," "," "," "
"Work under tight deadlines"," ","1","2","2"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","1","4"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","3","1"
"Work with clients who may be aggressive","1"," "," "," "," ","2","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","4","1"
"Work with clients with cognitive deficits"," "," "," "," "," ","4","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","5"," "
"Work with interdisciplinary team members"," "," ","1","3","1"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","1","4"
"Work with more than one preceptor"," ","2","1","2"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","4"," ","1"," "," "," "
"Work with other students"," ","1"," ","3","1"," "," "
"Total","5","8","7","20","5","20","15"
