"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently"
"Analytical or clinical/professional reasoning"," "," ","3","1","1"," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","2"," ","2"," "
"Follow multiple step commands","1"," "," "," "," ","4"
"Integrating new learning into practice"," "," ","2","1","2"," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","5"
"Practicing good judgement and decision-making"," "," ","2","1","2"," "
"Problem solving"," "," ","3","1","1"," "
"Reading electronic documents"," "," ","4","1"," "," "
"Reading paper documents (handwritten or typed)"," ","1","1","3"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","4"
"Self-starting/initiating"," "," ","4"," ","1"," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","2"," "
"Total","2","2","23","9","11","13"
