"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","6","6","14"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","12","11"," "," "
"Follow multiple step commands","1"," "," "," "," ","17","8"
"Integrating new learning into practice"," "," ","5","9","12"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","19","6"
"Practicing good judgement and decision-making"," "," ","6","3","17"," "," "
"Problem solving"," "," ","7","7","12"," "," "
"Reading electronic documents"," ","2","1","18","5"," "," "
"Reading paper documents (handwritten or typed)"," ","3","4","16","3"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","15","10"
"Self-starting/initiating"," "," ","11","8","7"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","8","11"," "," "
"Total","3","5","50","87","92","51","24"
