"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","23"," "," "," "," "," "," "," ","3"
"Bending"," ","3"," "," ","2","20"," ","1"," "
"By hand"," ","5"," "," ","5","16"," "," "," "
"Carrying less than 5 kg"," ","8","14","1"," "," ","3"," "," "
"Carrying more than 5 kg"," ","21","5"," "," "," "," "," "," "
"Congested/cluttered working areas","16"," "," "," "," "," "," "," ","10"
"Exposure to chemicals","22"," "," "," "," "," "," "," ","4"
"Exposure to excessive dust","25"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","19"," "," "," "," "," "," "," ","7"
"Exposure to extreme temperatures","24"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","8"," "," "," "," "," "," "," ","18"
"Exposure to insects or animals (e.g. bed bugs, cats)","25"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","19"," "," "," "," "," "," "," ","7"
"Finger dexterity"," ","2","12","6"," "," ","6"," "," "
"Grasping"," ","1","14","5"," "," ","6"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","5","18"," ","3"," "
"Keyboarding on phone"," ","24"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","5"," "," ","1","19"," ","1"," "
"Lifting less than 5 kg"," ","5","10","6"," "," ","5"," "," "
"Lifting more than 5 kg"," ","14","10","2"," "," "," "," "," "
"Other climbing"," ","25"," "," "," ","1"," "," "," "
"Pinching"," ","5","15","2"," "," ","4"," "," "
"Pulling less than 5 kg"," ","15","8","1"," "," ","2"," "," "
"Pulling more than 5 kg"," ","18","5","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","9","14","1"," "," ","2"," "," "
"Pushing more than 5 kg"," ","12","10","4"," "," "," "," "," "
"Reaching"," ","2","14","4"," "," ","6"," "," "
"Sitting (Continuous)"," ","6"," "," ","2","16"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","14","8"," ","4"," "
"Stair climbing"," ","11"," "," ","2","12"," ","1"," "
"Standing (Continuous)"," ","1"," "," ","7","14"," ","4"," "
"Standing (Intermittent)"," "," "," "," ","15","2"," ","9"," "
"Travel via car required","21"," "," "," "," "," "," "," ","5"
"Travel via public transportation required","26"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","11"," "," ","1","13"," ","1"," "
"Use of sharp tools","21"," "," "," "," "," "," "," ","5"
"Walking"," "," "," "," ","13","7"," ","6"," "
"Work only indoors","5"," "," "," "," "," "," "," ","21"
"Work outdoors > 1 hour","26"," "," "," "," "," "," "," "," "
"Total","280","203","131","35","68","147","34","32","84"
