"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","9"," "," "," "," ","3","14"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","1","23","1"," "," "
"Independent work"," "," ","5","16","5"," "," "
"Work at a fast pace"," "," ","6","9","11"," "," "
"Work under tight deadlines"," ","1","7","15","3"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","8","18"
"Work with clients who have experienced psychological trauma","8"," "," "," "," ","7","11"
"Work with clients who may be aggressive","7"," "," "," "," ","2","17"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","14","12"
"Work with clients with cognitive deficits"," "," "," "," "," ","19","7"
"Work with clients with multiple diagnoses"," "," "," "," "," ","25","1"
"Work with interdisciplinary team members"," "," ","5","18","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","5"," "," "," "," ","8","13"
"Work with more than one preceptor"," ","13","3","7","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","4","5","15","2"," "," "
"Work with other students"," ","11","2","12","1"," "," "
"Total","29","30","34","115","29","86","93"
