"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","7","9","17"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","4","15","13"," "," "
"Follow multiple step commands","1"," "," "," "," ","21","11"
"Integrating new learning into practice"," "," ","6","12","15"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","23","9"
"Practicing good judgement and decision-making"," "," ","9","3","21"," "," "
"Problem solving"," "," ","9","9","15"," "," "
"Reading electronic documents"," ","2","2","24","5"," "," "
"Reading paper documents (handwritten or typed)"," ","4","4","22","3"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","20","11"
"Self-starting/initiating"," "," ","11","14","8"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","13","13"," "," "
"Total","4","7","59","121","110","64","31"
