"Question","No","Not Required","Required half of a day","Required less than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","1"," "," "," "," "," "
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1"," "," "," "
"Independent work"," "," ","1"," "," "," "
"Work at a fast pace"," "," "," ","1"," "," "
"Work under tight deadlines"," "," "," ","1"," "," "
"Work with clients that speak little or no English","1"," "," "," "," "," "
"Work with clients who have experienced psychological trauma"," "," "," "," ","1"," "
"Work with clients who may be aggressive"," "," "," "," "," ","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","1"
"Work with clients with cognitive deficits"," "," "," "," "," ","1"
"Work with clients with multiple diagnoses"," "," "," "," ","1"," "
"Work with interdisciplinary team members"," "," "," ","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," "," "
"Work with more than one preceptor"," ","1"," "," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","1"," "," "," "," "
"Work with other students"," "," "," ","1"," "," "
"Total","3","2","2","4","2","3"
