"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "," "
"Bending"," ","2"," "," "," ","3"," "," "," "
"By hand"," ","1"," "," ","3","1"," "," "," "
"Carrying less than 5 kg"," ","2","3"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","4","1"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," "," "
"Exposure to chemicals","5"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," "," "
"Exposure to strong odors","4"," "," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","2","1"," "," ","1"," "," "
"Grasping"," "," ","1","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","2"," ","1"," "
"Keyboarding on phone"," ","4"," "," ","1"," "," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","1"," "," "," "
"Lifting less than 5 kg"," ","1","1","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","4","1"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," "," "," "," "," "
"Pinching"," ","1","2","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","1","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","3","1","1"," "," "," "," "," "
"Reaching"," ","1","1","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," "," ","1"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","2","1"," ","2"," "
"Stair climbing"," ","1"," "," "," ","4"," "," "," "
"Standing (Continuous)"," ","1"," "," ","1","2"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","2"," ","1"," "
"Travel via car required","4"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","5"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," "," ","3"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","4"," "," "," "
"Work only indoors","1"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," "," "
"Total","59","47","18","13","13","24","3","7","11"
