"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," ","2"
"Bending"," ","2"," "," ","2","3"," "," "," "
"By hand"," ","3"," "," ","1","3"," "," "," "
"Carrying less than 5 kg"," ","3","4"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","4","3"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","6"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","6"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","5"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","2","3"," "," "," ","2"," "," "
"Grasping"," ","1","3","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","4"," "," "," "
"Keyboarding on phone"," ","6"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","1"," "," "," ","6"," "," "," "
"Lifting less than 5 kg"," ","2","4","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","4","2","1"," "," "," "," "," "
"Other climbing"," ","5"," "," ","1","1"," "," "," "
"Pinching"," ","2","4"," "," "," ","1"," "," "
"Pulling less than 5 kg"," ","3","3","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","5","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","4","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","4","3"," "," "," "," "," "," "
"Reaching"," ","1","3","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," "," ","4"," ","1"," "
"Sitting (Intermittent)"," ","1"," "," ","3","2"," ","1"," "
"Stair climbing"," ","3"," "," ","1","3"," "," "," "
"Standing (Continuous)"," ","1"," "," ","1","4"," ","1"," "
"Standing (Intermittent)"," ","1"," "," ","2","2"," ","2"," "
"Travel via car required","6"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","4"," "," ","1","2"," "," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," ","2"
"Walking"," ","1"," "," ","1","4"," ","1"," "
"Work only indoors","2"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," "," "
"Total","73","63","38","8","16","39","5","6","25"
