"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","37"," "," "," "," "," "," "," ","4"
"Bending"," ","4"," "," ","3","33"," ","1"," "
"By hand"," ","12"," "," ","8","21"," "," "," "
"Carrying less than 5 kg"," ","14","22","2"," "," ","3"," "," "
"Carrying more than 5 kg"," ","34","7"," "," "," "," "," "," "
"Congested/cluttered working areas","26"," "," "," "," "," "," "," ","15"
"Exposure to chemicals","36"," "," "," "," "," "," "," ","5"
"Exposure to excessive dust","40"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","31"," "," "," "," "," "," "," ","10"
"Exposure to extreme temperatures","38"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","14"," "," "," "," "," "," "," ","27"
"Exposure to insects or animals (e.g. bed bugs, cats)","34"," "," "," "," "," "," "," ","7"
"Exposure to strong odors","28"," "," "," "," "," "," "," ","13"
"Finger dexterity"," ","5","18","11"," "," ","7"," "," "
"Grasping"," ","3","21","9"," "," ","8"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","10","26"," ","5"," "
"Keyboarding on phone"," ","39"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","8"," "," ","1","31"," ","1"," "
"Lifting less than 5 kg"," ","10","18","8"," "," ","5"," "," "
"Lifting more than 5 kg"," ","24","14","3"," "," "," "," "," "
"Other climbing"," ","38"," "," "," ","3"," "," "," "
"Pinching"," ","8","22","6"," "," ","5"," "," "
"Pulling less than 5 kg"," ","21","16","1"," "," ","3"," "," "
"Pulling more than 5 kg"," ","28","10","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","13","24","1"," "," ","3"," "," "
"Pushing more than 5 kg"," ","19","16","5"," "," ","1"," "," "
"Reaching"," ","3","22","8"," "," ","8"," "," "
"Sitting (Continuous)"," ","10"," "," ","4","25"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","20","16"," ","5"," "
"Stair climbing"," ","16"," "," ","2","22"," ","1"," "
"Standing (Continuous)"," ","4"," "," ","8","22"," ","7"," "
"Standing (Intermittent)"," "," "," "," ","22","4"," ","15"," "
"Travel via car required","36"," "," "," "," "," "," "," ","5"
"Travel via public transportation required","38"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","22"," "," ","2","16"," ","1"," "
"Use of sharp tools","32"," "," "," "," "," "," "," ","9"
"Walking"," "," "," "," ","16","14"," ","11"," "
"Work only indoors","9"," "," "," "," "," "," "," ","32"
"Work outdoors > 1 hour","39"," "," "," "," "," "," "," ","2"
"Total","438","335","210","57","97","234","43","49","136"
