"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "," "," "
"Bending"," ","3"," "," "," ","5"," "," "," "
"By hand"," ","2"," "," ","3","2"," ","1"," "
"Carrying less than 5 kg"," ","4","4"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","7","1"," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","7"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","8"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","6"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","6"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","2","3","1"," "," ","2"," "," "
"Grasping"," "," ","4","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","3"," ","2"," "
"Keyboarding on phone"," ","7"," "," ","1"," "," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","4"," "," "," "
"Lifting less than 5 kg"," ","2","3","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","7","1"," "," "," "," "," "," "
"Other climbing"," ","7"," "," "," ","1"," "," "," "
"Pinching"," ","2","4","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","5","3"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","6","1","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","6","1","1"," "," "," "," "," "
"Reaching"," ","1","4","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," "," ","3"," ","3"," "
"Sitting (Intermittent)"," "," "," "," ","3","2"," ","3"," "
"Stair climbing"," ","2"," "," "," ","6"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","4"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","4","3"," ","1"," "
"Travel via car required","7"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","7"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," "," ","4"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","2","6"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," ","1"
"Total","92","77","33","13","19","43","4","11","20"
