"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)","1"," ","3"," "," "
"Follow multiple step commands"," "," "," ","2","2"
"Integrating new learning into practice","1"," ","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","3","1"
"Practicing good judgement and decision-making"," "," ","4"," "," "
"Problem solving","1"," ","3"," "," "
"Reading electronic documents","1","1","2"," "," "
"Reading paper documents (handwritten or typed)"," ","3","1"," "," "
"Require instant recall of facts/data"," "," "," ","2","2"
"Self-starting/initiating","1"," ","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4"," "," "
"Total","5","5","26","7","5"
