"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," "," ","2"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","6"," "," "," "
"Independent work"," "," ","4"," ","3"," "," "
"Work at a fast pace"," ","2","1","4"," "," "," "
"Work under tight deadlines"," ","5","1","1"," "," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","3","1"
"Work with clients who have experienced psychological trauma","4"," "," "," "," "," ","3"
"Work with clients who may be aggressive","5"," "," "," "," "," ","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6","1"
"Work with clients with cognitive deficits","2"," "," "," "," ","4","1"
"Work with clients with multiple diagnoses","1"," "," "," "," ","5","1"
"Work with interdisciplinary team members"," ","1"," ","6"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","5"," "," "," "," "," ","2"
"Work with more than one preceptor"," ","5","1","1"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","6"," ","1"," "," "," "
"Work with other students"," ","3","2"," ","2"," "," "
"Total","25","23","9","19","5","18","13"
