"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","2","7"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","3","3","4"," "," "
"Follow multiple step commands","3"," "," "," "," ","6","3"
"Integrating new learning into practice"," "," ","5","1","6"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","8","4"
"Practicing good judgement and decision-making"," "," ","4"," ","8"," "," "
"Problem solving"," "," ","6","1","5"," "," "
"Reading electronic documents"," ","3","2","4","3"," "," "
"Reading paper documents (handwritten or typed)"," "," ","2","8","2"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","6","4"
"Self-starting/initiating"," ","1","3","2","6"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","2","8"," "," "
"Total","5","6","30","23","49","20","11"
