"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","9"," "," "," "," ","1","2"
"Group work (e.g. Client and family meetings, team meetings)"," ","5","2","5"," "," "," "
"Independent work"," "," ","5","3","4"," "," "
"Work at a fast pace"," ","3","5","4"," "," "," "
"Work under tight deadlines"," ","4","3","5"," "," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","5","4"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","3","5"
"Work with clients who may be aggressive","5"," "," "," "," ","2","5"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","10","1"
"Work with clients with cognitive deficits","3"," "," "," "," ","7","2"
"Work with clients with multiple diagnoses","1"," "," "," "," ","8","3"
"Work with interdisciplinary team members"," "," ","2","8","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","7"," "," "," "," ","1","4"
"Work with more than one preceptor"," ","10","1","1"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","10","1"," ","1"," "," "
"Work with other students"," ","6","1","2","3"," "," "
"Total","33","38","20","28","10","37","26"
