"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","7"," "," "," "," ","1","1"
"Group work (e.g. Client and family meetings, team meetings)"," ","4","2","3"," "," "," "
"Independent work"," "," ","3","3","3"," "," "
"Work at a fast pace"," ","2","4","3"," "," "," "
"Work under tight deadlines"," ","3","2","4"," "," "," "
"Work with clients that speak little or no English","2"," "," "," "," ","4","3"
"Work with clients who have experienced psychological trauma","2"," "," "," "," ","2","5"
"Work with clients who may be aggressive","4"," "," "," "," ","2","3"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","7","1"
"Work with clients with cognitive deficits","2"," "," "," "," ","5","2"
"Work with clients with multiple diagnoses","1"," "," "," "," ","6","2"
"Work with interdisciplinary team members"," "," ","2","5","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","1","4"
"Work with more than one preceptor"," ","7","1","1"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","7","1"," ","1"," "," "
"Work with other students"," ","4","1","2","2"," "," "
"Total","23","27","16","21","8","28","21"
