"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","3","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","2","3"," "," "
"Follow multiple step commands"," "," "," "," "," ","5","4"
"Integrating new learning into practice"," "," ","3","3","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","3"
"Practicing good judgement and decision-making"," "," ","3","2","4"," "," "
"Problem solving"," "," ","5","1","3"," "," "
"Reading electronic documents"," ","3","1","3","2"," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","6","2"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","3","4"
"Self-starting/initiating"," "," ","3","2","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","2","5"," "," "
"Total","2","3","25","24","29","14","11"
