"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","2","6"," "," "," "
"By hand"," ","1"," "," ","1","7"," "," "," "
"Carrying less than 5 kg"," ","4","5"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","7","2"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","8"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","8"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","6"," "," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","6","2"," "," ","1"," "," "
"Grasping"," "," ","8","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","2","3"," ","2"," "
"Keyboarding on phone"," ","5"," "," "," ","4"," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","5"," "," "," "
"Lifting less than 5 kg"," ","1","7","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","5","4"," "," "," "," "," "," "
"Other climbing"," ","7"," "," "," ","2"," "," "," "
"Pinching"," ","1","8"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","8","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","8","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","6","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","8","1"," "," "," "," "," "," "
"Reaching"," ","1","8"," "," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","4","2"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","4","3"," ","2"," "
"Stair climbing"," ","1"," "," ","1","7"," "," "," "
"Standing (Continuous)"," ","1"," "," ","3","4"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","3","4"," ","2"," "
"Travel via car required","8"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","7"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","4"," "," "," ","5"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," ","3"
"Walking"," "," "," "," ","2","7"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","6"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," ","2"
"Total","90","75","54","4","23","59","1","9","36"
