"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","4","2","4"," "," "
"Follow multiple step commands","1"," "," "," "," ","7","3"
"Integrating new learning into practice"," "," ","3","3","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","8","3"
"Practicing good judgement and decision-making"," "," ","3","3","5"," "," "
"Problem solving"," "," ","5","2","4"," "," "
"Reading electronic documents"," ","2","4","4","1"," "," "
"Reading paper documents (handwritten or typed)"," ","1","2","7","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","4","5"
"Self-starting/initiating"," "," ","6","2","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","3","4"," "," "
"Total","3","4","36","28","31","19","11"
