"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","2"
"Bending"," "," "," "," ","3","8"," "," "," "
"By hand"," ","3"," "," "," ","8"," "," "," "
"Carrying less than 5 kg"," ","1","9","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","11"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","11"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","11"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","7"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","10"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","9"," "," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","6","4"," "," ","1"," "," "
"Grasping"," "," ","6","5"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4","6"," "," "," "
"Keyboarding on phone"," ","8"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","1"," "," ","2","8"," "," "," "
"Lifting less than 5 kg"," ","1","8","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Other climbing"," ","10"," "," "," ","1"," "," "," "
"Pinching"," "," ","7","4"," "," "," "," "," "
"Pulling less than 5 kg"," ","7","3","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","9","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","5","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","8","3"," "," "," "," "," "," "
"Reaching"," "," ","6","5"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","6"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","2","5"," ","4"," "
"Stair climbing"," "," "," "," ","3","8"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","7"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","7"," ","2"," "
"Travel via car required","10"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","9"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","5"," "," "," ","6"," "," "," "
"Use of sharp tools","10"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","8"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","7"
"Work outdoors > 1 hour","10"," "," "," "," "," "," "," ","1"
"Total","127","73","65","23","24","81","1","8","27"
