"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","1","5"," "," "," "
"By hand"," ","1"," "," ","1","5"," "," "," "
"Carrying less than 5 kg"," ","3","4"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","6","1"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","6"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","7"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","7"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","5"," "," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","4","2"," "," ","1"," "," "
"Grasping"," "," ","6","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","3"," ","2"," "
"Keyboarding on phone"," ","4"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","5"," "," "," "
"Lifting less than 5 kg"," ","1","5","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","5","2"," "," "," "," "," "," "
"Other climbing"," ","6"," "," "," ","1"," "," "," "
"Pinching"," ","1","6"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","6","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","7"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","7"," "," "," "," "," "," "," "
"Reaching"," ","1","6"," "," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2","2"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","2","3"," ","2"," "
"Stair climbing"," ","1"," "," ","1","5"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","3"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","3"," ","2"," "
"Travel via car required","6"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","5"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","3"," "," "," ","4"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","3"
"Walking"," "," "," "," ","1","6"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," ","1"
"Total","73","62","37","4","14","48","1","9","25"
