"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","8","5","13"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","3","9","7","7"," "," "
"Follow multiple step commands","5"," "," "," "," ","17","4"
"Integrating new learning into practice"," "," ","6","8","12"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","21","3"
"Practicing good judgement and decision-making"," "," ","9","5","12"," "," "
"Problem solving"," "," ","11","4","11"," "," "
"Reading electronic documents"," ","4","6","11","5"," "," "
"Reading paper documents (handwritten or typed)"," ","2","3","20","1"," "," "
"Require instant recall of facts/data","8"," "," "," "," ","13","5"
"Self-starting/initiating"," ","1","11","6","8"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","9","10"," "," "
"Total","15","10","70","75","79","51","12"
