"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","13"," "," "," "," ","4","4",1
"Group work (e.g. Client and family meetings, team meetings)"," ","3","2","16"," "," "," ",1
"Independent work"," "," ","12","4","5"," "," ",1
"Work at a fast pace"," ","6","5","8","2"," "," ",1
"Work under tight deadlines"," ","8","4","8","1"," "," ",1
"Work with clients that speak little or no English","3"," "," "," "," ","10","8",1
"Work with clients who have experienced psychological trauma","8"," "," "," "," ","5","8",1
"Work with clients who may be aggressive","13"," "," "," "," ","2","6",1
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","13","6",1
"Work with clients with cognitive deficits","4"," "," "," "," ","12","5",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","14","7",1
"Work with interdisciplinary team members"," ","1","7","11","2"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","12"," "," "," "," ","5","4",1
"Work with more than one preceptor"," ","8","4","7","2"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","12","1","6","2"," "," ",1
"Work with other students"," ","7","2","7","5"," "," ",1
"Total","55","45","37","67","19","65","48",16
