"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","30"," "," "," "," "," "," "," ","2"
"Bending"," ","4"," "," ","4","24"," "," "," "
"By hand"," ","6"," "," ","3","23"," "," "," "
"Carrying less than 5 kg"," ","7","21","3"," "," ","1"," "," "
"Carrying more than 5 kg"," ","23","9"," "," "," "," "," "," "
"Congested/cluttered working areas","25"," "," "," "," "," "," "," ","7"
"Exposure to chemicals","32"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","32"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","24"," "," "," "," "," "," "," ","8"
"Exposure to extreme temperatures","31"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","26"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","28"," "," "," "," "," "," "," ","4"
"Exposure to strong odors","28"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","4","15","8"," "," ","5"," "," "
"Grasping"," ","4","14","10"," "," ","4"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","10","17"," ","4"," "
"Keyboarding on phone"," ","28"," "," "," ","4"," "," "," "
"Kneeling/squatting"," ","5"," "," ","4","23"," "," "," "
"Lifting less than 5 kg"," ","8","19","4"," "," ","1"," "," "
"Lifting more than 5 kg"," ","20","12"," "," "," "," "," "," "
"Other climbing"," ","24"," "," ","1","7"," "," "," "
"Pinching"," ","4","17","8"," "," ","3"," "," "
"Pulling less than 5 kg"," ","23","6","3"," "," "," "," "," "
"Pulling more than 5 kg"," ","26","5","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","21","9","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","24","7","1"," "," "," "," "," "
"Reaching"," ","4","14","12"," "," ","2"," "," "
"Sitting (Continuous)"," ","2"," "," ","10","16"," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","12","13"," ","7"," "
"Stair climbing"," ","7"," "," ","5","20"," "," "," "
"Standing (Continuous)"," ","6"," "," ","5","20"," ","1"," "
"Standing (Intermittent)"," ","1"," "," ","11","17"," ","3"," "
"Travel via car required","22"," "," "," "," "," "," "," ","10"
"Travel via public transportation required","27"," "," "," "," "," "," "," ","5"
"Twisting /awkward posture"," ","18"," "," ","1","13"," "," "," "
"Use of sharp tools","27"," "," "," "," "," "," "," ","5"
"Walking"," "," "," "," ","5","27"," "," "," "
"Work only indoors","10"," "," "," "," "," "," "," ","22"
"Work outdoors > 1 hour","30"," "," "," "," "," "," "," ","2"
"Total","372","270","148","52","71","224","16","19","76"
