"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","3","8"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","4","1","6"," "," "
"Follow multiple step commands","2"," "," "," "," ","10","1"
"Integrating new learning into practice"," "," ","3","4","6"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","11","2"
"Practicing good judgement and decision-making"," "," ","5","1","7"," "," "
"Problem solving"," "," ","4","2","7"," "," "
"Reading electronic documents"," ","1","4","3","5"," "," "
"Reading paper documents (handwritten or typed)"," ","1","2","10"," "," "," "
"Require instant recall of facts/data","2"," "," "," "," ","7","4"
"Self-starting/initiating"," "," ","5","1","7"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","5","5"," "," "
"Total","4","4","32","30","51","28","7"
