"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","14"," "," "," "," "," "," "," ","1"
"Bending"," ","2"," "," ","2","11"," "," "," "
"By hand"," ","2"," "," ","2","10"," ","1"," "
"Carrying less than 5 kg"," ","6","9"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","11","4"," "," "," "," "," "," "
"Congested/cluttered working areas","11"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","14"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","15"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","12"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","14"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","10"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","14"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","11"," "," "," "," "," "," "," ","4"
"Finger dexterity"," "," ","8","5"," "," ","2"," "," "
"Grasping"," "," ","10","4"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","5","8"," ","2"," "
"Keyboarding on phone"," ","12"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","5"," "," "," ","10"," "," "," "
"Lifting less than 5 kg"," ","4","10","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","9","6"," "," "," "," "," "," "
"Other climbing"," ","14"," "," "," ","1"," "," "," "
"Pinching"," ","1","10","3"," "," ","1"," "," "
"Pulling less than 5 kg"," ","12","3"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","13","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","8","6","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","10","5"," "," "," "," "," "," "
"Reaching"," ","1","11","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," ","5","6"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","7","5"," ","3"," "
"Stair climbing"," ","8"," "," ","1","6"," "," "," "
"Standing (Continuous)"," ","2"," "," ","4","8"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","6","6"," ","3"," "
"Travel via car required","13"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","13"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","6"," "," "," ","9"," "," "," "
"Use of sharp tools","10"," "," "," "," "," "," "," ","5"
"Walking"," "," "," "," ","3","12"," "," "," "
"Work only indoors","5"," "," "," "," "," "," "," ","10"
"Work outdoors > 1 hour","14"," "," "," "," "," "," "," ","1"
"Total","170","128","84","16","35","95","5","12","40"
