"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","8"," "," "," "," ","4","2",1
"Group work (e.g. Client and family meetings, team meetings)"," ","2","2","9","1"," "," ",1
"Independent work"," "," ","7","3","4"," "," ",1
"Work at a fast pace"," ","4","3","5","2"," "," ",1
"Work under tight deadlines"," ","7","2","5"," "," "," ",1
"Work with clients that speak little or no English","2"," "," "," "," ","8","4",1
"Work with clients who have experienced psychological trauma","5"," "," "," "," ","3","6",1
"Work with clients who may be aggressive","9"," "," "," "," ","2","3",1
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","8","5",1
"Work with clients with cognitive deficits","1"," "," "," "," ","10","3",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","11","3",1
"Work with interdisciplinary team members"," "," ","7","5","2"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","5"," "," "," "," ","5","4",1
"Work with more than one preceptor"," ","4","3","5","2"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","6","2","4","2"," "," ",1
"Work with other students"," ","4","1","5","4"," "," ",1
"Total","31","27","27","41","17","51","30",16
