"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","5","1","3"," "," "
"Follow multiple step commands","2"," "," "," "," ","6","2"
"Integrating new learning into practice"," "," ","2","3","5"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","8","1"
"Practicing good judgement and decision-making"," "," ","4","2","4"," "," "
"Problem solving"," "," ","6","1","3"," "," "
"Reading electronic documents"," ","2","4","3","1"," "," "
"Reading paper documents (handwritten or typed)"," ","2","1","6","1"," "," "
"Require instant recall of facts/data","4"," "," "," "," ","4","2"
"Self-starting/initiating"," "," ","6","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","2","4"," "," "
"Total","7","5","36","21","28","18","5"
