"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","3","6"," "," "," "
"By hand"," ","3"," "," "," ","7"," "," "," "
"Carrying less than 5 kg"," ","2","7","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","10"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","7"," "," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","5","3"," "," ","2"," "," "
"Grasping"," "," ","5","5"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4","5"," "," "," "
"Keyboarding on phone"," ","7"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","1"," "," ","2","7"," "," "," "
"Lifting less than 5 kg"," ","1","7","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","2"," "," "," "
"Pinching"," "," ","6","4"," "," "," "," "," "
"Pulling less than 5 kg"," ","5","3","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","4","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Reaching"," "," ","5","5"," "," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","3","4"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","3","4"," ","3"," "
"Stair climbing"," "," "," "," ","2","8"," "," "," "
"Standing (Continuous)"," ","2"," "," ","3","4"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","4","5"," ","1"," "
"Travel via car required","9"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","9"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","5"," "," "," ","5"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","7"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","6"
"Work outdoors > 1 hour","9"," "," "," "," "," "," "," ","1"
"Total","109","70","55","23","27","67","2","6","31"
