"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","6"," "," "," "," ","1","3"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","1","8"," "," "," "
"Independent work"," "," ","5","1","4"," "," "
"Work at a fast pace"," ","1","2","6","1"," "," "
"Work under tight deadlines"," ","3","2","5"," "," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","6","3"
"Work with clients who have experienced psychological trauma","5"," "," "," "," ","2","3"
"Work with clients who may be aggressive","7"," "," "," "," ","1","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5","5"
"Work with clients with cognitive deficits","4"," "," "," "," ","5","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","3"
"Work with interdisciplinary team members"," "," ","2","6","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","2","4"
"Work with more than one preceptor"," ","1","3","2","4"," "," "
"Work with Occupational Therapy Assistant(s)"," ","6"," ","4"," "," "," "
"Work with other students"," ","2","3","4","1"," "," "
"Total","27","14","18","36","12","29","24"
