"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","7","4","9"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","8","7","5"," "," "
"Follow multiple step commands","4"," "," "," "," ","12","4"
"Integrating new learning into practice"," "," ","6","5","9"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","13","5"
"Practicing good judgement and decision-making"," "," ","7","3","10"," "," "
"Problem solving"," "," ","10","3","7"," "," "
"Reading electronic documents"," ","3","3","12","2"," "," "
"Reading paper documents (handwritten or typed)"," ","1","4","13","2"," "," "
"Require instant recall of facts/data","6"," "," "," "," ","6","8"
"Self-starting/initiating"," "," ","9","4","7"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","5","8"," "," "
"Total","12","4","61","56","59","31","17"
