"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","13"," "," "," "," "," ","6",1
"Group work (e.g. Client and family meetings, team meetings)"," ","3","2","14"," "," "," ",1
"Independent work"," "," ","11","4","4"," "," ",1
"Work at a fast pace"," ","2","1","13","3"," "," ",1
"Work under tight deadlines"," ","9","2","7","1"," "," ",1
"Work with clients that speak little or no English","2"," "," "," "," ","8","9",1
"Work with clients who have experienced psychological trauma","7"," "," "," "," ","3","9",1
"Work with clients who may be aggressive","11"," "," "," "," "," ","8",1
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","10","7",1
"Work with clients with cognitive deficits","3"," "," "," "," ","10","6",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","13","6",1
"Work with interdisciplinary team members"," "," ","5","10","4"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","6"," "," "," "," ","6","7",1
"Work with more than one preceptor"," ","6","6","3","4"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","10","1","8"," "," "," ",1
"Work with other students"," ","4","4","7","4"," "," ",1
"Total","44","34","32","66","20","50","58",16
