"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","6","1","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","4","2","3"," "," "
"Follow multiple step commands","2"," "," "," "," ","7","1"
"Integrating new learning into practice"," "," ","4","2","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","8","2"
"Practicing good judgement and decision-making"," "," ","3","3","4"," "," "
"Problem solving"," "," ","6","1","3"," "," "
"Reading electronic documents"," ","2","4","3","1"," "," "
"Reading paper documents (handwritten or typed)"," ","1","2","6","1"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","4","3"
"Self-starting/initiating"," "," ","6","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","5","2","3"," "," "
"Total","5","4","40","21","25","19","6"
