"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "," ","2"
"Bending"," "," "," "," ","2","8"," "," "," "
"By hand"," ","2"," "," "," ","8"," "," "," "
"Carrying less than 5 kg"," ","1","8","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","10"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","9"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","7"," "," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","6","3"," "," ","1"," "," "
"Grasping"," "," ","6","4"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4","5"," "," "," "
"Keyboarding on phone"," ","6"," "," "," ","4"," "," "," "
"Kneeling/squatting"," "," "," "," ","1","9"," "," "," "
"Lifting less than 5 kg"," ","1","7","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","2"," "," "," "
"Pinching"," "," ","7","3"," "," "," "," "," "
"Pulling less than 5 kg"," ","6","3","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","8","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","4","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Reaching"," "," ","6","4"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2","6"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","1","6"," ","3"," "
"Stair climbing"," "," "," "," ","2","8"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","6"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","7"," ","1"," "
"Travel via car required","8"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","8"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","5"," "," "," ","5"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","8"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","6"
"Work outdoors > 1 hour","9"," "," "," "," "," "," "," ","1"
"Total","112","65","59","19","18","82","1","6","28"
