"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","7","3","10"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","7","7","6"," "," "
"Follow multiple step commands","4"," "," "," "," ","13","3"
"Integrating new learning into practice"," "," ","6","4","10"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","12","6"
"Practicing good judgement and decision-making"," "," ","6","3","11"," "," "
"Problem solving"," "," ","9","3","8"," "," "
"Reading electronic documents"," ","2","3","13","2"," "," "
"Reading paper documents (handwritten or typed)"," ","1","4","13","2"," "," "
"Require instant recall of facts/data","5"," "," "," "," ","6","9"
"Self-starting/initiating"," "," ","9","5","6"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","6","6","8"," "," "
"Total","11","3","57","57","63","31","18"
