"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","18"," "," "," "," "," "," "," ","2"
"Bending"," ","4"," "," ","1","15"," "," "," "
"By hand"," ","4"," "," ","4","12"," "," "," "
"Carrying less than 5 kg"," ","6","12","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","18","2"," "," "," "," "," "," "
"Congested/cluttered working areas","17"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","19"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","19"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","18"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","18"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","14"
"Exposure to insects or animals (e.g. bed bugs, cats)","18"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","15"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","2","10","2"," "," ","6"," "," "
"Grasping"," "," ","14","3"," "," ","3"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","6","11"," ","2"," "
"Keyboarding on phone"," ","13"," "," ","1","6"," "," "," "
"Kneeling/squatting"," ","8"," "," ","1","11"," "," "," "
"Lifting less than 5 kg"," ","4","12","3"," "," ","1"," "," "
"Lifting more than 5 kg"," ","14","4","1"," "," ","1"," "," "
"Other climbing"," ","18"," "," "," ","2"," "," "," "
"Pinching"," ","2","14","2"," "," ","2"," "," "
"Pulling less than 5 kg"," ","17","2","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","17","2","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","16","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","13","3","4"," "," "," "," "," "
"Reaching"," ","1","14","2"," "," ","3"," "," "
"Sitting (Continuous)"," ","5"," "," ","4","7"," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","9","6"," ","5"," "
"Stair climbing"," ","6"," "," ","1","13"," "," "," "
"Standing (Continuous)"," ","5"," "," ","3","11"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","10","7"," ","3"," "
"Travel via car required","15"," "," "," "," "," "," "," ","5"
"Travel via public transportation required","18"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","12"," "," "," ","8"," "," "," "
"Use of sharp tools","16"," "," "," "," "," "," "," ","4"
"Walking"," "," "," "," ","6","14"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","16"
"Work outdoors > 1 hour","19"," "," "," "," "," "," "," ","1"
"Total","220","186","93","21","46","123","16","15","60"
