"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","13"," "," "," "," "," ","6",1
"Group work (e.g. Client and family meetings, team meetings)"," ","3","2","14"," "," "," ",1
"Independent work"," "," ","10","5","4"," "," ",1
"Work at a fast pace"," ","3","1","12","3"," "," ",1
"Work under tight deadlines"," ","10","2","6","1"," "," ",1
"Work with clients that speak little or no English","2"," "," "," "," ","7","10",1
"Work with clients who have experienced psychological trauma","7"," "," "," "," ","2","10",1
"Work with clients who may be aggressive","11"," "," "," "," ","1","7",1
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","9","8",1
"Work with clients with cognitive deficits","2"," "," "," "," ","11","6",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","13","6",1
"Work with interdisciplinary team members"," "," ","5","10","4"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","5"," "," "," "," ","7","7",1
"Work with more than one preceptor"," ","7","6","2","4"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","9","1","9"," "," "," ",1
"Work with other students"," ","4","3","8","4"," "," ",1
"Total","42","36","30","66","20","50","60",16
