"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","13"," "," "," "," ","1","6"
"Group work (e.g. Client and family meetings, team meetings)"," ","3","1","15","1"," "," "
"Independent work"," "," ","9","5","6"," "," "
"Work at a fast pace"," ","5","3","8","4"," "," "
"Work under tight deadlines"," ","8","2","7","3"," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","7","10"
"Work with clients who have experienced psychological trauma","9"," "," "," "," ","2","9"
"Work with clients who may be aggressive","13"," "," "," "," ","1","6"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","10","9"
"Work with clients with cognitive deficits","6"," "," "," "," ","9","5"
"Work with clients with multiple diagnoses"," "," "," "," "," ","12","8"
"Work with interdisciplinary team members"," "," ","4","11","5"," "," "
"Work with medically fragile clients and/or those at risk of dying","13"," "," "," "," ","3","4"
"Work with more than one preceptor"," ","7","4","3","6"," "," "
"Work with Occupational Therapy Assistant(s)"," ","15"," ","5"," "," "," "
"Work with other students"," ","11","3","5","1"," "," "
"Total","58","49","26","59","26","45","57"
