"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","43"," "," "," "," "," "," "," ","2"
"Bending"," ","13"," "," ","3","29"," "," "," "
"By hand"," ","5"," "," ","9","27"," ","4"," "
"Carrying less than 5 kg"," ","17","24","1"," "," ","3"," "," "
"Carrying more than 5 kg"," ","33","9","3"," "," "," "," "," "
"Congested/cluttered working areas","33"," "," "," "," "," "," "," ","12"
"Exposure to chemicals","43"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","43"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","35"," "," "," "," "," "," "," ","10"
"Exposure to extreme temperatures","40"," "," "," "," "," "," "," ","5"
"Exposure to infectious agents/disease","29"," "," "," "," "," "," "," ","16"
"Exposure to insects or animals (e.g. bed bugs, cats)","43"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","37"," "," "," "," "," "," "," ","8"
"Finger dexterity"," ","5","24","7"," "," ","9"," "," "
"Grasping"," ","3","26","8"," "," ","8"," "," "
"Keyboarding on computer or tablet"," ","4"," "," ","14","23"," ","4"," "
"Keyboarding on phone"," ","37"," "," ","1","7"," "," "," "
"Kneeling/squatting"," ","22"," "," ","3","20"," "," "," "
"Lifting less than 5 kg"," ","12","22","6"," "," ","5"," "," "
"Lifting more than 5 kg"," ","27","14","4"," "," "," "," "," "
"Other climbing"," ","38"," "," "," ","7"," "," "," "
"Pinching"," ","8","25","7"," "," ","5"," "," "
"Pulling less than 5 kg"," ","33","10","1"," "," ","1"," "," "
"Pulling more than 5 kg"," ","34","8","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","28","14","1"," "," ","2"," "," "
"Pushing more than 5 kg"," ","28","13","4"," "," "," "," "," "
"Reaching"," ","5","28","4"," "," ","8"," "," "
"Sitting (Continuous)"," ","9"," "," ","11","17"," ","8"," "
"Sitting (Intermittent)"," ","1"," "," ","26","10"," ","8"," "
"Stair climbing"," ","23"," "," ","1","21"," "," "," "
"Standing (Continuous)"," ","12"," "," ","10","22"," ","1"," "
"Standing (Intermittent)"," ","1"," "," ","21","19"," ","4"," "
"Travel via car required","38"," "," "," "," "," "," "," ","7"
"Travel via public transportation required","42"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","26"," "," "," ","19"," "," "," "
"Use of sharp tools","33"," "," "," "," "," "," "," ","12"
"Walking"," ","1"," "," ","8","35"," ","1"," "
"Work only indoors","12"," "," "," "," "," "," "," ","33"
"Work outdoors > 1 hour","42"," "," "," "," "," "," "," ","3"
"Total","513","425","217","49","107","256","41","30","117"
