"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","26"," "," "," "," ","5","13",1
"Group work (e.g. Client and family meetings, team meetings)"," ","10","2","32"," "," "," ",1
"Independent work"," "," ","23","12","9"," "," ",1
"Work at a fast pace"," ","7","11","19","7"," "," ",1
"Work under tight deadlines"," ","14","11","16","3"," "," ",1
"Work with clients that speak little or no English","6"," "," "," "," ","18","20",1
"Work with clients who have experienced psychological trauma","13"," "," "," "," ","11","20",1
"Work with clients who may be aggressive","26"," "," "," "," ","3","15",1
"Work with clients with challenging economic and/or personal circumstances","5"," "," "," "," ","23","16",1
"Work with clients with cognitive deficits","11"," "," "," "," ","17","16",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","27","17",1
"Work with interdisciplinary team members"," ","2","11","26","5"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","25"," "," "," "," ","9","10",1
"Work with more than one preceptor"," ","19","9","9","7"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","26","1","15","2"," "," ",1
"Work with other students"," ","20","3","16","5"," "," ",1
"Total","112","98","71","145","38","113","127",16
