"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","11"," "," "," "," ","1","7",1
"Group work (e.g. Client and family meetings, team meetings)"," ","1","1","16","1"," "," ",1
"Independent work"," "," ","6","7","6"," "," ",1
"Work at a fast pace"," ","4","4","8","3"," "," ",1
"Work under tight deadlines"," ","9","2","6","2"," "," ",1
"Work with clients that speak little or no English","3"," "," "," "," ","6","10",1
"Work with clients who have experienced psychological trauma","11"," "," "," "," ","1","7",1
"Work with clients who may be aggressive","13"," "," "," "," ","1","5",1
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","8","9",1
"Work with clients with cognitive deficits","3"," "," "," "," ","11","5",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","11","8",1
"Work with interdisciplinary team members"," "," ","6","7","6"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","12"," "," "," "," ","3","4",1
"Work with more than one preceptor"," ","5","4","2","8"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","12","2","5"," "," "," ",1
"Work with other students"," ","7","4","6","2"," "," ",1
"Total","55","38","29","57","28","42","55",16
