"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","22"," "," "," "," ","5","11",1
"Group work (e.g. Client and family meetings, team meetings)"," ","7","3","27","1"," "," ",1
"Independent work"," "," ","20","12","6"," "," ",1
"Work at a fast pace"," ","7","9","15","7"," "," ",1
"Work under tight deadlines"," ","14","7","15","2"," "," ",1
"Work with clients that speak little or no English","4"," "," "," "," ","16","18",1
"Work with clients who have experienced psychological trauma","12"," "," "," "," ","8","18",1
"Work with clients who may be aggressive","22"," "," "," "," ","3","13",1
"Work with clients with challenging economic and/or personal circumstances","5"," "," "," "," ","19","14",1
"Work with clients with cognitive deficits","5"," "," "," "," ","17","16",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","25","13",1
"Work with interdisciplinary team members"," ","1","11","20","6"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","19"," "," "," "," ","9","10",1
"Work with more than one preceptor"," ","15","9","7","7"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","20","2","14","2"," "," ",1
"Work with other students"," ","15","3","15","5"," "," ",1
"Total","89","79","64","125","36","102","113",16
