"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5","2","13"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","5","3","10"," "," "
"Follow multiple step commands","4"," "," "," "," ","14","2"
"Integrating new learning into practice"," "," ","3","4","13"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","12","6"
"Practicing good judgement and decision-making"," "," ","6","2","12"," "," "
"Problem solving"," "," ","7","2","11"," "," "
"Reading electronic documents"," ","2","6","9","3"," "," "
"Reading paper documents (handwritten or typed)"," ","1","7","11","1"," "," "
"Require instant recall of facts/data","4"," "," "," "," ","12","4"
"Self-starting/initiating"," "," ","9","4","7"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","5","6","9"," "," "
"Total","10","5","53","43","79","38","12"
