"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","12"," "," "," "," ","2","6"
"Group work (e.g. Client and family meetings, team meetings)"," ","4","2","14"," "," "," "
"Independent work"," "," ","8","6","6"," "," "
"Work at a fast pace"," ","2","4","9","5"," "," "
"Work under tight deadlines"," ","7","4","6","3"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","6","13"
"Work with clients who have experienced psychological trauma","10"," "," "," "," ","1","9"
"Work with clients who may be aggressive","14"," "," "," "," ","1","5"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","8","11"
"Work with clients with cognitive deficits","6"," "," "," "," ","7","7"
"Work with clients with multiple diagnoses","1"," "," "," "," ","10","9"
"Work with interdisciplinary team members"," "," ","6","10","4"," "," "
"Work with medically fragile clients and/or those at risk of dying","13"," "," "," "," ","3","4"
"Work with more than one preceptor"," ","6","6","3","5"," "," "
"Work with Occupational Therapy Assistant(s)"," ","14"," ","6"," "," "," "
"Work with other students"," ","10","3","6","1"," "," "
"Total","58","43","33","60","24","38","64"
