"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","14","7","29"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","15","13","20"," "," "
"Follow multiple step commands","6"," "," "," "," ","30","14"
"Integrating new learning into practice"," "," ","12","9","29"," "," "
"Memory aids can be used (e.g. information sheets)","3"," "," "," "," ","30","17"
"Practicing good judgement and decision-making"," "," ","18","6","26"," "," "
"Problem solving"," "," ","23","8","19"," "," "
"Reading electronic documents"," ","5","13","30","2"," "," "
"Reading paper documents (handwritten or typed)"," ","1","22","23","4"," "," "
"Require instant recall of facts/data","6"," "," "," "," ","29","15"
"Self-starting/initiating"," "," ","20","8","22"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","8","15","27"," "," "
"Total","15","8","145","119","178","89","46"
