"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","8","2","12"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","6","4","10"," "," "
"Follow multiple step commands","4"," "," "," "," ","16","2"
"Integrating new learning into practice"," "," ","7","4","11"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","15","6"
"Practicing good judgement and decision-making"," "," ","7","3","12"," "," "
"Problem solving"," "," ","9","2","11"," "," "
"Reading electronic documents"," ","2","7","10","3"," "," "
"Reading paper documents (handwritten or typed)"," ","1","7","13","1"," "," "
"Require instant recall of facts/data","4"," "," "," "," ","11","7"
"Self-starting/initiating"," "," ","10","4","8"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","8","7"," "," "
"Total","9","5","68","50","75","42","15"
