"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","10"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","1","10"," "," "," "
"By hand"," ","1"," "," ","1","9"," "," "," "
"Carrying less than 5 kg"," ","2","7","1"," "," ","1"," "," "
"Carrying more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","11"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","11"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","7"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","11"," "," "," "," "," "," "," "," "
"Exposure to strong odors","9"," "," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","5","2"," "," ","4"," "," "
"Grasping"," "," ","5","3"," "," ","3"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","5","5"," ","1"," "
"Keyboarding on phone"," ","9"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","2"," "," ","2","7"," "," "," "
"Lifting less than 5 kg"," ","2","6","1"," "," ","2"," "," "
"Lifting more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","3"," "," "," "
"Pinching"," "," ","6","3"," "," ","2"," "," "
"Pulling less than 5 kg"," ","5","6"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","7","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","6","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","7","4"," "," "," "," "," "," "
"Reaching"," "," ","5","4"," "," ","2"," "," "
"Sitting (Continuous)"," ","1"," "," ","4","4"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","3","4"," ","4"," "
"Stair climbing"," ","3"," "," ","1","7"," "," "," "
"Standing (Continuous)"," ","2"," "," ","3","5"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","4","5"," ","2"," "
"Travel via car required","8"," "," "," "," "," "," "," ","3"
"Travel via public transportation required","11"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," ","1","7"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","1","10"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","9"
"Work outdoors > 1 hour","11"," "," "," "," "," "," "," "," "
"Total","125","70","63","14","26","78","14","10","29"
