"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","1","5"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","10"," "," "," "
"Independent work"," "," ","4","3","4"," "," "
"Work at a fast pace"," ","1","3","4","3"," "," "
"Work under tight deadlines"," ","6","2","1","2"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","4","6"
"Work with clients who have experienced psychological trauma","6"," "," "," "," ","1","4"
"Work with clients who may be aggressive","8"," "," "," "," ","1","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5","6"
"Work with clients with cognitive deficits","3"," "," "," "," ","6","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","6","5"
"Work with interdisciplinary team members"," "," ","3","6","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","8"," "," "," "," ","1","2"
"Work with more than one preceptor"," ","4","2","2","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","7"," ","4"," "," "," "
"Work with other students"," ","5","2","4"," "," "," "
"Total","31","23","17","34","14","25","32"
