"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","40"," "," "," "," "," "," "," ","2"
"Bending"," ","11"," "," ","1","30"," "," "," "
"By hand"," ","3"," "," ","11","23"," ","5"," "
"Carrying less than 5 kg"," ","11","27","3"," "," ","1"," "," "
"Carrying more than 5 kg"," ","29","10","3"," "," "," "," "," "
"Congested/cluttered working areas","34"," "," "," "," "," "," "," ","8"
"Exposure to chemicals","41"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","41"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","35"," "," "," "," "," "," "," ","7"
"Exposure to extreme temperatures","39"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","27"," "," "," "," "," "," "," ","15"
"Exposure to insects or animals (e.g. bed bugs, cats)","40"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","37"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","4","18","9"," "," ","11"," "," "
"Grasping"," ","2","20","9"," "," ","11"," "," "
"Keyboarding on computer or tablet"," ","5"," "," ","9","27"," ","1"," "
"Keyboarding on phone"," ","35"," "," ","1","6"," "," "," "
"Kneeling/squatting"," ","21"," "," ","2","19"," "," "," "
"Lifting less than 5 kg"," ","10","20","7"," "," ","5"," "," "
"Lifting more than 5 kg"," ","23","15","4"," "," "," "," "," "
"Other climbing"," ","39"," "," "," ","3"," "," "," "
"Pinching"," ","6","20","8"," "," ","8"," "," "
"Pulling less than 5 kg"," ","28","12","1"," "," ","1"," "," "
"Pulling more than 5 kg"," ","31","8","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","22","19"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","25","14","3"," "," "," "," "," "
"Reaching"," ","5","22","5"," "," ","10"," "," "
"Sitting (Continuous)"," ","10"," "," ","7","22"," ","3"," "
"Sitting (Intermittent)"," ","1"," "," ","23","12"," ","6"," "
"Stair climbing"," ","21"," "," ","1","20"," "," "," "
"Standing (Continuous)"," ","14"," "," ","10","17"," ","1"," "
"Standing (Intermittent)"," ","1"," "," ","20","17"," ","4"," "
"Travel via car required","36"," "," "," "," "," "," "," ","6"
"Travel via public transportation required","39"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","25"," "," "," ","17"," "," "," "
"Use of sharp tools","29"," "," "," "," "," "," "," ","13"
"Walking"," ","2"," "," ","7","33"," "," "," "
"Work only indoors","11"," "," "," "," "," "," "," ","31"
"Work outdoors > 1 hour","40"," "," "," "," "," "," "," ","2"
"Total","489","384","205","55","92","246","48","20","99"
