"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","1"," "," "," "," "," "," "," ","2"
"Bending"," "," "," "," ","1","2"," "," "," "
"By hand"," "," "," "," "," ","3"," "," "," "
"Carrying less than 5 kg"," "," ","2","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","1","2"," "," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","3"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","3"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "," "," ","1"
"Finger dexterity"," "," ","1","1"," "," ","1"," "," "
"Grasping"," "," ","1","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","2"," "," "," "
"Keyboarding on phone"," ","2"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," ","1","2"," "," "," "
"Lifting less than 5 kg"," "," ","2","1"," "," "," "," "," "
"Lifting more than 5 kg"," "," ","3"," "," "," "," "," "," "
"Other climbing"," ","2"," "," "," ","1"," "," "," "
"Pinching"," "," ","2","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","1","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","1","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","1","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","1","2"," "," "," "," "," "," "
"Reaching"," "," ","1","2"," "," "," "," "," "
"Sitting (Continuous)"," "," "," "," "," ","2"," ","1"," "
"Sitting (Intermittent)"," "," "," "," "," ","2"," ","1"," "
"Stair climbing"," "," "," "," "," ","3"," "," "," "
"Standing (Continuous)"," "," "," "," ","1","1"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","1","1"," ","1"," "
"Travel via car required","3"," "," "," "," "," "," "," "," "
"Travel via public transportation required","2"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," "," "," "," "," ","3"," "," "," "
"Use of sharp tools","2"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","2"," "," "," "
"Work only indoors","1"," "," "," "," "," "," "," ","2"
"Work outdoors > 1 hour","2"," "," "," "," "," "," "," ","1"
"Total","31","9","22","8","6","25","1","4","11"
